raw_data_id,link,txt_file_id,Rating,Review,Title,MPAA_Rating,Length,Genre,Released_date,Avg_rating,review_count,prime_view_link,notes,image_link
,https://www.imdb.com/title/tt0090605/?ref_=tt_mv_close,https://www.imdb.com/review/rw6072670/?ref_=tt_urv,9,"Welcome to 1986, where they had diverse AND well-written characters in what has to be one of the best Sci-Fi Action films of all time: ALIENS...Even in 1979, Ellen Ripley was what those wannabes today want to recreate: a strong, yet believable female character with a real challenge and a highly competent movie around her. Now, imagine being tasked to do a sequel to ALIEN. You'd be right to directly spray your pants, go throw up, have a heart attack and then politely decline. But not James Cameron. He went on and made one of the most valuable and memorable sequels in film history, despite having a lot of nay-sayers in his own team who didn't believe he could pull it off. Oh, the balls this guy had...Well, what can I tell you about this film that you don't already know? If you really haven't seen it, go watch it. Immediately. It basically is the American version of the suspenseful, British original, but it does get to expand on the world-building quite a lot, as well as on Ripley herself. Add Michael Biehn, Bill Paxton and a ton of Xenomorphs, paranoia, action, quite a bit of horror, Paul Reiser and Lance Henriksen and a badass called Vasquez, and you will have a cocktail that you won't forget, I promise. Then just realize that I didn't even mention Sigourney Weaver and holy cow, why are you still reading this?...Go watch this movie!",Aliens,R,2h 17min,"Action, Adventure, Sci-Fi",1986,8.3,676000,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.c0a9f7a6-4596-0e51-25e5-a2f5d5d370c8?ref_=imdbref_tt_wbr_pvs_piv&tag=imdbtag_tt_wbr_pvs_piv-20,,https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UY746_.jpg
,https://www.imdb.com/title/tt0472043/?ref_=adv_li_tt,https://www.imdb.com/review/rw5503781/?ref_=tt_urv,9,"Epic. I fell in love with all the main characters. This movie is so exciting you just can't turn away . Dramatic, exciting, emotional, beautiful story of good versing evil. Even though the story involves the natives of Central America circa 1511 there is a moral implication than can be applied to modern America. The Mayan Empirical governing body had become so vile and corrupt that it's collapse was inevitable. Tribes and villagers who wanted to live solitary and peaceful lives were being attacked by the Mayans. The story is just amazing.",Apocalypto,R,2h 19min,"Action, Adventure, Drama",2006,7.8,299000,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.c6b8cd64-9d5f-1085-66a1-512627490aa3?ref_=imdbref_tt_wo_pvt_aiv&tag=imdbtag_tt_wo_pvt_aiv-20,,https://m.media-amazon.com/images/M/MV5BMzhmNGMzMDMtZDM0Yi00MmVmLWExYjAtZDhjZjcxZDM0MzJhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1200_.jpg
,https://www.imdb.com/title/tt1478964/?ref_=adv_li_tt,https://www.imdb.com/review/rw3484488/?ref_=tt_urv,8,"First, this is the sort of flick the UK writers do so well and frankly don't do enough of...Reminds me of the old saying, when Life gives you Lemons, make Lemonade...London has blessed the UK film industry with one of the most diverse and interesting ecosystems on the planet. What, I have lost count, 14 distinct accents and counting? In return the industry has taken this raw material and produced a wide range of thrillers, most of which rely heavily for their impact on the violence element or the gang element...So, who woke up one morning and said, hey, let's make the gang the good guys for a change ... instead of causing trouble they get to defend the country against aliens. And brimming with gang values, they will go it alone, they will not even ask for help...Great premise, brilliant and engaging execution. It could have just been ""merely"" entertaining, but great writing, cast, acting and direction help it make the leap to cult classic...The low IMDb rating is not merely wrong, it is seriously wrong. This is a fun film that can be watched more than once.",Attack the Block,R,1h 28min,"Action, Adventure, Comedy",2011,6.7,103000,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.48a9f70e-a2e4-7342-88f2-0082e51d1981?ref_=imdbref_tt_wo_pvt_aiv&tag=imdbtag_tt_wo_pvt_aiv-20,,https://m.media-amazon.com/images/M/MV5BMjAzNjc1MjgzOF5BMl5BanBnXkFtZTcwMzE3Njk5NQ@@._V1_FMjpg_UY720_.jpg
984,http://www.imdb.com/title/tt0211938,984_7,7,"I happened across ""Bait"" on cable one night just as it started and thought, ""Eh, why not?"" I'm glad I gave it a chance. ""Bait"" ain't perfect. It suffers from unnecessarily flashy direction and occasional dumbness. But overall, this movie worked. All the elements aligned just right, and they pulled off what otherwise could have been a pretty ugly film. Most of that, I think, is due to Jamie Foxx. I don't know who tagged Foxx for the lead, but whoever it was did this movie a big favor. Believable and amazingly likeable, Foxx glides through the movie, smooth as butter and funnier than hell. You can tell he's working on instinct, and instinct doesn't fail him.The plot, while unimportant, actually ties together pretty well, and there's even a character arc through which Foxx's character grows as a person. Again, they could've slipped by without any of this, but it just makes things that much better.I'm surprised at the low rating for this. Maybe I just caught this move on the right night, or vice versa, but I'd give it a 7/10. Bravo, Mssr. Foxx.",Bait (2000),R,1h 59min,"Action, Comedy, Crime",15 September 2000 (USA),5.8,10644,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.caa9f747-8143-ee4b-f0d2-79b8948e0423?ref_=imdbref_tt_wbr_pvt_aiv&tag=imdbtag_tt_wbr_pvt_aiv-20,,"https://m.media-amazon.com/images/M/MV5BMTc2NzM2MjY1OV5BMl5BanBnXkFtZTYwMTkyNjc3._V1_UX182_CR0,0,182,268_AL_.jpg"
2958,http://www.imdb.com/title/tt0249376,2958_10,10,"A comedy of epically funny proportions from the guys that brought you South Park, and most of the guys from Orgazmo. This vulgur, obscence movie has utterly disgusting, eggotistical, and satirical content. It portrays incredibly cruel treatment of humans and animals. I LOVE IT!!!!! This is some funny stuff. Really funny. Two loser friends create a game in thier driveway, which explodes into a national sensation. Corruption and greed and blackmail turn the sport sour, and its up ta Coop ta fix it. And along the way, you will laugh. Alot. That's all there is. Enjoy!!!!",BASEketball (1998),R,1h 43min,"Comedy, Sport",31 July 1998 (USA),6.5,57274,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.62a9f77f-462f-99b5-5bd3-2b8bba050f55?ref_=imdbref_tt_wbr_pvt_aiv&tag=imdbtag_tt_wbr_pvt_aiv-20,,"https://m.media-amazon.com/images/M/MV5BMmZjZDg2ZjItYTVkNC00YWRmLThmZTMtNTYxNTI5MWM4NjU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
,https://www.imdb.com/title/tt6802400/?ref_=tt_mv_close,https://www.imdb.com/review/rw6734094/?ref_=tt_urv,8,Yes. Just yes. It was naturally funny. When I was younger I admired EMr. Eddie Murphy for his talent and he still got it. I used to make love to many women thinking of Miss Lisa Macdowell and she is still OK here (thin). They tried so hard and made it happenm. And I tend to like comedy movies. This was really funny a nd nostalgic. Ugh! More please. Come on Eddie my man,Coming 2 America,PG-13,1h 50min,Comedy,2021,5.3,61000,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.f4bb395a-0da2-1792-e50f-8308c7455776?ref_=imdbref_tt_wbr_pvs_piv&tag=imdbtag_tt_wbr_pvs_piv-20,,https://m.media-amazon.com/images/M/MV5BZTMyY2Q2MDctMDFlMS00MWEzLTk1NmEtNDcxNzg1ZGJlNGU5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UY720_.jpg
,https://www.imdb.com/title/tt13622118/?ref_=ttls_li_tt,https://www.imdb.com/review/rw6736594/?ref_=tt_urv,10,"Not since I saw Wizards as a kid was I so excited about an animated film. Cryptozoo has a great weird story and intense actions sequences with beautiful animation that feels very Raplh Bakshi or Heavy Metal. Psychedelic. The voice acting is pretty great too, something always lacking in most american animation. I watched it without knowing anything about it as part of an international film festival and was very pleasantly surprised. Highly recommended!",Cryptozoo,,1h 35min,Animation,2021,6.5,426,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.f128e8a4-4d43-4513-8bc3-fde2146414bf?ref_=imdbref_tt_wbr_pvt_aiv&tag=imdbtag_tt_wbr_pvt_aiv-20,,https://m.media-amazon.com/images/M/MV5BYjM2ODIxMzMtYzE2NS00Njg3LTliYTYtYjRjZGMwZTQ0YzkwXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_FMjpg_UX1000_.jpg
,https://www.imdb.com/title/tt0923811/?ref_=tt_mv_close,https://www.imdb.com/review/rw1723787/?ref_=tt_urv,10,"I was lucky enough to buy tickets to the opening day of Rebuild of Evangelion 0:1. After waiting in line from 5:30am, wearing custom printed Evangelion shirt, I was able to get front row seats to the first screening... and it was worth the wait! The classic epic story is retold with amazing new animation, new sound effects, new music and new scenes. Gainax has refreshed a timeless classic without taking the magic away from the original series. I doubt any fan of Evangelion would be disappointed - besides the fact we waited 12 years to witness Evangelion as indeed by Hideaki Anno...Rebuild of Evangelion 0:1 is how it was meant to be if the creators had the technology 12 years ago. If you've watched the TV anime to death or you are new to Evangelion, either way, Rebuild of Evangelion is for all fans of the anime...For those of you who don't know, Rebuild of Evangelion 0:1 is part one of an upcoming series of four movies. With the fourth film being a new conclusion to the original story. Compared to the original anime series and movies, besides being more enjoyable, these films are easier to follow for new fans of the series...I walked out of the theater smiling and thinking to myself: ""One down, three more to go!",Evangelion: 1.0 You Are (Not) Alone,PG-13,1h 38min,"Animation, Action, Drama",2007,7.7,20000,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.52bb13fa-a869-4d9d-e3e1-46fc3d3aef00?ref_=imdbref_tt_wbr_pvs_piv&tag=imdbtag_tt_wbr_pvs_piv-20,,https://m.media-amazon.com/images/M/MV5BNDU0NDQwMTA0N15BMl5BanBnXkFtZTcwNzE3ODY2Mg@@._V1_FMjpg_UX1000_.jpg
,https://www.imdb.com/title/tt2458948/?ref_=tt_mv_close,https://www.imdb.com/review/rw7222199/?ref_=tt_urv,10,"I was very skeptical before watching this film, I am a huge fan of the original show and film and I didn't think they had to be ""rebuilt""...It also didn't help that I thought the previous three films kind of sucked (though I did rewatch them before watching this one and I liked them way more the second time)...But, here we are, 9 years after the last Eva film, 24 years after Evangelion's previous theatrical conclusion, we have this movie, a beautifully animated 155 minutes long love letter to the Evangelion franchise and its fans...This time the ending can satisfy all fans, those who look for great action, those who watch for the surrealist imagery and philosophy, those who love the characters, this movie ties every loose end beautifully...Only issues I had here were some unnecessary fan-service scenes (though there are fans who watch it for this kind of stuff, I guess) and the 3D CGI fight scenes look kind of jarring sometimes but other than that, this was yet another high quality film by Hideaki Anno and I would highly recommend it...Bye-bye, all of Evangelion.",Evangelion: 3.0+1.01 Thrice Upon a Time,MA,2h 34min,"Action, Animation, Drama",2021,8.2,4600,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.6a81937b-e281-47fd-8410-056e6e0851ca?ref_=imdbref_tt_wbr_pvs_piv&tag=imdbtag_tt_wbr_pvs_piv-20,,https://m.media-amazon.com/images/M/MV5BMjJiMDE1NzUtY2E1Yy00MDZlLWEyMjYtNTMyYzcyNWMzMTJhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UY720_.jpg
,https://www.imdb.com/title/tt0083929/?ref_=adv_li_tt,https://www.imdb.com/review/rw2466511/?ref_=tt_urv,8,"I graduated a southern California high school in 1977, which is essentially the location and time period of this movie. It's incredibly on the mark. But your mileage may vary, and I'll let the other reviews cover that. My purpose here is to reveal the horror which I just witnessed on a basic cable showing of Fast Times...This movie earned an initial 'X' rating from the MPAA when first submitted, and after a few cuts garnered an 'R' for its release. The movie I saw on basic cable this morning would barely rate PG. Massive cuts and edits were evident all through the film. Entire scenes were removed. The dialog was edited so that you'd think it was made in the 1950's. The hilarious masturbation scene was edited in such a way that it appeared Linda walked in on Brad while he was peeing. (They actually ran the film backwards during this scene.) Even some of the musical soundtrack had changed, due to rights issues I'd guess...My point is, if you've only seen this movie on basic cable, you really haven't seen this movie. The version I saw today was on A&E, and they just butchered it. Things like that should be illegal.",Fast Times at Ridgemont High,R,1h 30min,"Comedy, Drama",1982,7.2,99000,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.80a9f708-c4db-c2ee-a9fe-c4ace7358b9e?ref_=imdbref_tt_wbr_pvs_piv&tag=imdbtag_tt_wbr_pvs_piv-20,,https://m.media-amazon.com/images/M/MV5BYzBlZjE1MDctYjZmZC00ZTJmLWFkOWEtYjdmZDZkODBkZmI2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_FMjpg_UX995_.jpg
