face_number,type,,
0,men,,
1,women,,
3,men,,
4,women,,
5,women,,men
6,women,,women
7,men,,child
8,child,,
9,women,,
10,men,,
11,women,,
12,child,,
13,men,,
14,men,,
15,men,,
16,men,,
17,men,,
18,women,,
20,women,,
21,men,,
22,women,,
23,women,,
25,men,,
27,men,,
28,women,,
29,women,,
30,women,,
31,men,,
32,men,,
33,women,,
35,women,,
36,women,,
37,child,,
38,women,,
39,men,,
40,men,,
41,child,,
42,men,,
43,women,,
44,men,,
45,men,,
46,women,,
49,women,,
51,men,,
53,men,,
54,men,,
55,child,,
57,men,,
58,men,,
59,men,,
61,women,,
62,men,,
65,women,,
66,men,,
67,men,,
68,women,,
69,child,,
70,women,,
74,child,,
77,child,,
79,child,,
80,child,,
81,men,,
82,women,,
83,men,,
84,men,,
87,men,,
88,men,,
89,women,,
90,men,,
91,women,,
92,men,,
93,men,,
94,women,,
95,child,,
96,women,,
98,men,,
99,women,,
100,men,,
101,men,,
102,women,,
103,men,,
104,child,,
107,women,,
108,women,,
109,men,,
110,men,,
111,men,,
113,women,,
114,men,,
115,women,,
116,men,,
117,women,,
118,men,,
119,women,,
121,men,,
122,women,,
123,men,,
124,women,,
125,child,,
126,men,,
127,women,,
129,women,,
130,women,,
131,women,,
132,men,,
133,women,,
135,women,,
136,women,,
137,women,,
138,women,,
140,child,,
141,women,,
142,women,,
143,men,,
144,child,,
145,men,,
146,men,,
148,men,,
149,men,,
150,women,,
153,child,,
154,men,,
155,men,,
156,women,,
157,men,,
159,men,,
160,men,,
161,child,,
162,women,,
163,child,,
164,men,,
166,women,,
167,men,,
169,women,,
171,men,,
172,men,,
176,child,,
177,child,,
178,men,,
179,women,,
181,men,,
182,men,,
184,women,,
185,women,,
186,men,,
187,men,,
188,men,,
189,men,,
190,men,,
191,men,,
192,women,,
193,men,,
194,child,,
196,women,,
197,men,,
198,women,,
199,men,,
200,child,,
201,women,,
203,men,,
204,men,,
205,women,,
206,men,,
207,men,,
208,child,,
209,women,,
210,child,,
211,men,,
212,women,,
213,women,,
216,women,,
218,women,,
219,child,,
220,women,,
221,child,,
224,women,,
225,women,,
226,men,,
227,men,,
228,men,,
229,men,,
230,women,,
231,men,,
232,men,,
233,men,,
234,women,,
235,men,,
236,men,,
237,women,,
238,men,,
239,men,,
240,women,,
242,men,,
243,women,,
244,child,,
245,men,,
246,men,,
247,men,,
248,women,,
249,women,,
